Level,ProficiencyBonus,Features,SpellsKnown,Slot1Spells,Slot2Spells,Slot3Spells,Slot4Spells,Slot5Spells
1,2,"Favored Enemy, Natural Explorer",0,0,0,0,0,0
2,2,"Fighting Style, Spellcasting",2,2,0,0,0,0
3,2,"Ranger Archetype, Primeval Awareness",3,3,0,0,0,0
4,2,Ability Score Improvement,3,3,0,0,0,0
5,3,Extra Attack,4,4,2,0,0,0
6,3,Favored Enemy and Natural Explorer Improvements,4,4,2,0,0,0
7,3,Ranger Archetype Feature,5,4,3,0,0,0
8,3,"Ability Score Improvement, Land’s Stride",5,4,3,0,0,0
9,4,—,6,4,3,2,0,0
10,4,"Natural Explorer Improvement, Hide in Plain Sight",6,4,3,2,0,0
11,4,Ranger Archetype Feature,7,4,3,3,0,0
12,4,Ability Score Improvement,7,4,3,3,0,0
13,5,—,8,4,3,3,1,0
14,5,"Favored Enemy Improvement, Vanish",8,4,3,3,1,0
15,5,Ranger Archetype Feature,9,4,3,3,2,0
16,5,Ability Score Improvement,9,4,3,3,2,0
17,6,—,10,4,3,3,3,1
18,6,Feral Senses,10,4,3,3,3,1
19,6,Ability Score Improvement,11,4,3,3,3,2
20,6,Foe Slayer,11,4,3,3,3,2